,train Error rate,train Loss,test Error rate,test Loss
0,89.67,2.3026797466570765,89.79,2.3241726088523866
1,89.848,2.302486350774155,89.75999999999999,2.301752336025238
2,89.73400000000001,2.301968586109483,89.71000000000001,2.303508155345917
3,89.724,2.3014640271511224,89.72,2.300645854473114
4,89.64,2.3012670446234895,89.60000000000001,2.3003721594810487
5,89.79,2.3004580891650654,89.42,2.3025844168663023
6,89.66199999999999,2.300068101004871,89.38000000000001,2.299286723136902
7,89.75800000000001,2.3001354185821454,89.61,2.29809223651886
8,90.066,2.3004800285524722,89.63,2.3010700821876524
9,89.74600000000001,2.3004144494185974,89.42999999999999,2.3004577684402467
10,89.57,2.3002593279494654,89.38000000000001,2.29829701423645
11,89.736,2.299577027635501,89.60000000000001,2.298196842670441
12,89.776,2.299787920149391,89.63,2.2992042827606203
13,89.598,2.299857034097852,89.51,2.298000860214233
14,89.526,2.3001856913651957,89.36,2.2982250165939333
15,89.708,2.3004672344383374,89.4,2.2966023874282837
16,89.472,2.2997428151347754,89.29,2.2985097193717956
17,89.07000000000001,2.295193008144798,89.58,2.398439030647278
18,86.77,2.258407056179193,89.71000000000001,2.413400104045868
19,86.634,2.249707164666842,89.75999999999999,2.5324107885360716
20,85.878,2.239410547954042,90.0,2.5135962104797365
21,86.282,2.2513666281005,91.45,2.3148463582992553
22,86.116,2.243667164117174,89.48,2.45763001203537
23,85.454,2.2269552906455896,89.66,2.4819441843032837
24,85.226,2.2227423575223253,90.0,2.441685218811035
25,85.154,2.216373141769253,89.59,2.333870806694031
26,84.85199999999999,2.212839292443317,87.66000000000001,2.386252405643463
27,87.7,2.285416211618487,88.98,2.2992868065834045
28,88.886,2.2914257262978714,89.71000000000001,3.774104676246643
29,86.438,2.249583390057849,90.01,2.3669310808181763
30,85.59400000000001,2.229011019172571,90.0,2.465531508922577
31,85.166,2.2238459745636376,90.0,2.4099183201789858
32,85.114,2.2188587188720703,89.64999999999999,5.5565267848968505
33,84.804,2.212798661283215,88.2,2.3377849221229554
34,84.676,2.211239819026664,90.0,2.403564467430115
35,85.2,2.2229478261659823,90.42999999999999,2.544579463005066
36,84.86200000000001,2.2152129006202874,90.0,2.3717883348464968
37,84.32600000000001,2.2065031735793403,85.1,2.2295176196098327
38,84.076,2.203789293308697,89.71000000000001,3.379218943119049
39,84.196,2.2047490250424047,93.02,2.414934470653534
40,84.434,2.2022112415879582,89.83,3.13554808139801
41,83.99600000000001,2.19696255535116,89.48,2.603768317699432
42,84.068,2.194019969467007,89.88000000000001,6.0569859790802
43,83.89,2.1940090083100303,90.88000000000001,2.427892940044403
44,84.076,2.19054550831885,89.87,2.6257765007019045
45,84.074,2.1879088317646698,89.67,2.405301673412323
46,83.86200000000001,2.1881638554965748,90.05,2.474769172668457
47,83.75,2.1822241169717307,90.08,2.4526195788383482
48,83.916,2.1846301653196134,90.06,28.66760820388794
49,83.662,2.1797045338184327,83.43,2.197355713844299
50,83.382,2.1776271884703573,89.81,2.4608168148994447
51,83.30199999999999,2.1763121697603895,89.9,2.9798782896995544
52,83.096,2.172803719635205,90.07000000000001,2.4915593671798706
53,83.314,2.17048920755801,89.75999999999999,22.72835256576538
54,83.48,2.17638504657599,89.79,18.57295063018799
55,83.098,2.17230782240553,90.42999999999999,30.228467025756835
56,83.028,2.169680226489406,89.75999999999999,30.127624969482422
57,82.994,2.169937147813685,89.81,3.754204845428467
58,82.906,2.159032004568583,90.82000000000001,3.9302466702461243
59,83.222,2.155334533632869,88.7,2.366150691509247
60,82.77600000000001,2.1525696384937256,86.29,2.5177567386627198
61,82.65,2.145324352147329,89.52,2.718867127895355
62,83.382,2.1715191624048726,90.08,3.8937910532951356
63,83.048,2.1547224722859806,86.26,2.2643072986602784
64,82.774,2.146248554024855,86.13,2.2398322105407713
65,82.602,2.1415158049834657,85.55,2.4123875975608824
66,82.3,2.137402591498002,89.8,2.649600875377655
67,82.1,2.1335717201842677,82.57,2.1545761370658876
68,81.984,2.127585410766894,83.75,2.224886953830719
69,81.83,2.12180832523824,83.32,2.1494399666786195
70,81.742,2.1198287251050516,88.11,2.417769207954407
71,82.01,2.120244870710251,85.55,2.23407420873642
72,81.598,2.113398678467402,90.36,3.238014099597931
73,81.47,2.112292918097942,89.55,2.64617280960083
74,81.634,2.1061783608268287,88.4,2.9949707913398744
75,81.232,2.107132171730861,84.26,2.195526080131531
76,81.336,2.0999155919570143,84.65,2.1650321769714354
77,80.986,2.097213639017871,82.67,2.1671817302703857
78,81.126,2.096609360116827,85.49,2.2340748620033266
79,80.76,2.0896000749314836,87.04,2.322567229270935
80,80.634,2.0864615415978003,86.78,2.629720265865326
81,80.024,2.0701190961901186,79.47999999999999,2.0577234637737276
82,79.814,2.065528213520489,79.80000000000001,2.063383765220642
83,79.596,2.0652448164532555,78.56,2.0344332206249236
84,79.654,2.0639502261300833,78.59,2.0359027075767515
85,79.574,2.06058987723592,78.37,2.027350697517395
86,79.322,2.060427530037473,78.0,2.0250385665893553
87,79.584,2.0610974740494243,78.79,2.0401890587806704
88,79.326,2.058205259120678,78.83,2.045136151313782
89,79.486,2.059373346740937,78.29,2.028204765319824
90,79.392,2.0563601542006977,78.81,2.0385576367378233
91,79.346,2.056693793562672,77.86,2.016751300096512
92,79.22200000000001,2.0586567339689834,78.2,2.0273847126960756
93,79.188,2.055010607480393,78.71000000000001,2.033547668457031
94,79.33399999999999,2.0588146582283935,78.23,2.024136273860931
95,79.25,2.0547112720396816,78.53999999999999,2.036769936084747
96,79.176,2.0520216869881085,78.16,2.0186235427856447
97,79.128,2.0530873521819446,78.29,2.0229640054702758
98,79.21000000000001,2.0511816523569015,77.86,2.0341871118545534
99,79.024,2.053298561469368,77.66,2.0168390929698945
100,79.01,2.048945752860945,79.01,2.034219659566879
101,79.07600000000001,2.0514910160123234,77.64999999999999,2.013848592042923
102,78.716,2.0467241106130887,78.83,2.043204587697983
103,79.054,2.0477666751198145,81.34,2.0977260172367096
104,78.804,2.050684593827523,77.58,2.0128123962879183
